ward_2022,group,count_2020
Glendale - C 0011,vap_nhpi,0
Glendale - C 0011,vap_other,4
Glendale - C 0011,vap_two,43
Glendale - C 0011,vap_white,465
Glendale - C 0012,vap,979
Glendale - C 0012,vap_aian,0
Glendale - C 0012,vap_asian,29
Glendale - C 0012,vap_black,298
Glendale - C 0012,vap_hisp,32
Glendale - C 0012,vap_nhpi,2
Glendale - C 0012,vap_other,8
Glendale - C 0012,vap_two,36
Glendale - C 0012,vap_white,574
Greendale - V 0001,vap,910
Greendale - V 0001,vap_aian,4
Greendale - V 0001,vap_asian,48
Greendale - V 0001,vap_black,8
Greendale - V 0001,vap_hisp,29
Greendale - V 0001,vap_nhpi,0
Greendale - V 0001,vap_other,0
Greendale - V 0001,vap_two,16
Greendale - V 0001,vap_white,805
Greendale - V 0002,vap,1141
Greendale - V 0002,vap_aian,7
Greendale - V 0002,vap_asian,56
Greendale - V 0002,vap_black,16
Greendale - V 0002,vap_hisp,54
Greendale - V 0002,vap_nhpi,0
Greendale - V 0002,vap_other,1
Greendale - V 0002,vap_two,24
Greendale - V 0002,vap_white,983
Greendale - V 0003,vap,1224
Greendale - V 0003,vap_aian,5
Greendale - V 0003,vap_asian,41
Greendale - V 0003,vap_black,19
Greendale - V 0003,vap_hisp,88
Greendale - V 0003,vap_nhpi,1
Greendale - V 0003,vap_other,4
Greendale - V 0003,vap_two,26
Greendale - V 0003,vap_white,1040
Greendale - V 0004,vap,1191
Greendale - V 0004,vap_aian,5
Greendale - V 0004,vap_asian,34
Greendale - V 0004,vap_black,21
Greendale - V 0004,vap_hisp,61
Greendale - V 0004,vap_nhpi,1
Greendale - V 0004,vap_other,2
Greendale - V 0004,vap_two,39
Greendale - V 0004,vap_white,1028
Greendale - V 0005,vap,1163
Greendale - V 0005,vap_aian,2
Greendale - V 0005,vap_asian,61
Greendale - V 0005,vap_black,10
Greendale - V 0005,vap_hisp,86
Greendale - V 0005,vap_nhpi,3
Greendale - V 0005,vap_other,3
Greendale - V 0005,vap_two,26
Greendale - V 0005,vap_white,972
Greendale - V 0006,vap,1098
Greendale - V 0006,vap_aian,3
Greendale - V 0006,vap_asian,38
Greendale - V 0006,vap_black,21
Greendale - V 0006,vap_hisp,81
Greendale - V 0006,vap_nhpi,0
Greendale - V 0006,vap_other,4
Greendale - V 0006,vap_two,20
Greendale - V 0006,vap_white,931
Greendale - V 0007,vap,903
Greendale - V 0007,vap_aian,4
Greendale - V 0007,vap_asian,26
Greendale - V 0007,vap_black,11
Greendale - V 0007,vap_hisp,59
Greendale - V 0007,vap_nhpi,1
Greendale - V 0007,vap_other,5
Greendale - V 0007,vap_two,5
Greendale - V 0007,vap_white,792
Greendale - V 0008,vap,1110
Greendale - V 0008,vap_aian,1
Greendale - V 0008,vap_asian,48
Greendale - V 0008,vap_black,23
Greendale - V 0008,vap_hisp,83
Greendale - V 0008,vap_nhpi,1
Greendale - V 0008,vap_other,0
Greendale - V 0008,vap_two,32
Greendale - V 0008,vap_white,922
Greendale - V 0009,vap,1056
Greendale - V 0009,vap_aian,0
Greendale - V 0009,vap_asian,34
Greendale - V 0009,vap_black,11
Greendale - V 0009,vap_hisp,87
Greendale - V 0009,vap_nhpi,0
Greendale - V 0009,vap_other,1
Greendale - V 0009,vap_two,28
Greendale - V 0009,vap_white,895
Greendale - V 0010,vap,1471
Greendale - V 0010,vap_aian,2
Greendale - V 0010,vap_asian,74
Greendale - V 0010,vap_black,21
Greendale - V 0010,vap_hisp,54
Greendale - V 0010,vap_nhpi,0
Greendale - V 0010,vap_other,1
Greendale - V 0010,vap_two,19
Greendale - V 0010,vap_white,1300
Greendale - V 0011,vap,228
Greendale - V 0011,vap_aian,0
Greendale - V 0011,vap_asian,9
Greendale - V 0011,vap_black,0
Greendale - V 0011,vap_hisp,16
